	match_id	p1_be	p1_bw	p1_fe	p1_fw	p1_unforced_errors	p1_winners	p2_be	p2_bw	p2_fe	p2_fw	p2_unforced_errors	p2_winners
90	19910707-M-Wimbledon-F-Boris_Becker-Michael_Stich	15	11	6	12	21.0	23.0	16	21	1	14	17.0	35.0
91	19910728-M-Canada_Masters-F-Petr_Korda-Andrei_Chesnokov	18	10	22	25	40.0	35.0	14	5	9	10	23.0	15.0
92	19910811-M-Cincinnati_Masters-F-Pete_Sampras-Guy_Forget	9	8	8	11	17.0	19.0	9	9	11	9	20.0	18.0
93	19910907-M-US_Open-SF-Ivan_Lendl-Stefan_Edberg	14	7	2	10	16.0	17.0	8	9	7	19	15.0	28.0
94	19910908-M-US_Open-F-Jim_Courier-Stefan_Edberg	7	6	13	9	20.0	15.0	9	10	7	22	16.0	32.0
95	19911027-M-Stockholm-F-Boris_Becker-Stefan_Edberg	11	17	4	22	15.0	39.0	15	30	8	18	23.0	48.0
96	19911103-M-Paris_Masters-F-Pete_Sampras-Guy_Forget	25	25	24	21	49.0	46.0	24	16	15	21	39.0	37.0
97	19911117-M-Tour_Finals-F-Pete_Sampras-Jim_Courier	19	21	13	31	32.0	52.0	8	10	19	19	27.0	29.0
98	19920122-M-Australian_Open-QF-Stefan_Edberg-Ivan_Lendl	14	22	10	20	24.0	42.0	16	26	10	17	26.0	43.0
99	19920125-M-Australian_Open-SF-Wayne_Ferreira-Stefan_Edberg	20	14	13	28	33.0	42.0	12	9	6	12	18.0	21.0
100	19920126-M-Australian_Open-F-Jim_Courier-Stefan_Edberg	3	24	11	20	14.0	44.0	13	12	10	21	23.0	33.0
101	19920426-M-Monte_Carlo_Masters-F-Aaron_Krickstein-Thomas_Muster	20	6	14	7	34.0	13.0	19	5	13	24	32.0	29.0
102	19920510-M-Hamburg_Masters-F-Stefan_Edberg-Michael_Stich	12	22	7	15	19.0	37.0	12	31	8	9	20.0	40.0
103	19920517-M-Rome_Masters-F-Jim_Courier-Carlos_Costa	5	3	28	16	33.0	19.0	21	5	14	9	35.0	14.0
104	19920607-M-Roland_Garros-F-Jim_Courier-Petr_Korda	6	4	6	7	12.0	11.0	14	8	19	13	33.0	21.0
105	19920704-M-Wimbledon-SF-John_Mcenroe-Andre_Agassi	4	9	7	9	11.0	18.0	7	20	3	16	10.0	36.0
106	19920705-M-Wimbledon-F-Andre_Agassi-Goran_Ivanisevic	7	20	6	11	13.0	31.0	20	11	18	17	38.0	28.0
107	19920724-M-Canada_Masters-SF-Ivan_Lendl-Wally_Masur	6	9	4	17	10.0	26.0	5	3	6	6	11.0	9.0
108	19920726-M-Canada_Masters-F-Andre_Agassi-Ivan_Lendl	19	11	8	13	27.0	24.0	16	6	12	12	28.0	18.0
109	19920815-M-Cincinnati_Masters-SF-Michael_Chang-Ivan_Lendl	11	2	13	7	24.0	9.0	10	5	10	9	20.0	14.0
110	19920815-M-Cincinnati_Masters-SF-Pete_Sampras-Stefan_Edberg	8	13	4	7	12.0	20.0	8	10	2	1	10.0	11.0
111	19920816-M-Cincinnati_Masters-F-Pete_Sampras-Ivan_Lendl	13	11	12	14	25.0	25.0	10	8	14	8	24.0	16.0
112	19920823-M-New_Haven-SF-Ivan_Lendl-Stefan_Edberg	10	8	5	13	15.0	21.0	7	4	4	21	11.0	25.0
113	19920912-M-US_Open-SF-Michael_Chang-Stefan_Edberg	27	32	14	31	41.0	63.0	20	34	20	33	40.0	67.0
114	19920913-M-US_Open-F-Pete_Sampras-Stefan_Edberg	17	17	7	19	24.0	36.0	12	15	16	18	28.0	33.0
115	19921031-M-Stockholm_Masters-SF-Guy_Forget-Pete_Sampras	2	7	6	7	8.0	14.0	9	14	13	13	22.0	27.0
116	19921031-M-Stockholm_Masters-SF-Stefan_Edberg-Goran_Ivanisevic	4	7	6	11	10.0	18.0	10	9	5	10	15.0	19.0
117	19921101-M-Stockholm_Masters-F-Guy_Forget-Goran_Ivanisevic	22	8	10	13	32.0	21.0	21	13	15	23	36.0	36.0
118	19921108-M-Paris_Masters-F-Guy_Forget-Boris_Becker	12	6	7	15	19.0	21.0	10	11	5	14	15.0	25.0
119	19921122-M-Tour_Finals-F-Jim_Courier-Boris_Becker	4	10	5	17	9.0	27.0	13	12	6	17	19.0	29.0
120	19930128-M-Australian_Open-SF-Pete_Sampras-Stefan_Edberg	12	14	15	19	27.0	33.0	13	11	11	25	24.0	36.0
121	19930131-M-Australian_Open-F-Jim_Courier-Stefan_Edberg	8	20	8	20	16.0	40.0	19	14	10	13	29.0	27.0
122	19930307-M-Indian_Wells_Masters-F-Jim_Courier-Wayne_Ferreira	10	2	4	10	14.0	12.0	26	8	15	7	41.0	15.0
123	19930321-M-Miami_Masters-F-Pete_Sampras-Malivai_Washington	7	8	17	13	24.0	21.0	10	1	9	4	19.0	5.0
124	19930424-M-Monte_Carlo_Masters-SF-Cedric_Pioline-Stefan_Edberg	9	10	8	11	17.0	21.0	11	0	13	4	24.0	4.0
125	19930502-M-Madrid-F-Stefan_Edberg-Sergi_Bruguera	16	12	14	14	30.0	26.0	14	10	15	9	29.0	19.0
126	19930509-M-Hamburg_Masters-F-Michael_Stich-Andrei_Chesnokov	22	20	29	22	51.0	42.0	18	23	8	19	26.0	42.0
127	19930516-M-Rome_Masters-F-Jim_Courier-Goran_Ivanisevic	4	5	11	9	15.0	14.0	19	11	15	10	34.0	21.0
128	19930606-M-Roland_Garros-F-Jim_Courier-Sergi_Bruguera	22	6	22	20	44.0	26.0	18	16	13	21	31.0	37.0
129	19930702-M-Wimbledon-SF-Jim_Courier-Stefan_Edberg	8	25	7	18	15.0	43.0	15	12	9	18	24.0	30.0
130	19930704-M-Wimbledon-F-Jim_Courier-Pete_Sampras	14	11	11	18	25.0	29.0	20	12	9	19	29.0	31.0
131	19930801-M-Canada_Masters-F-Todd_Martin-Mikael_Pernfors	24	6	11	21	35.0	27.0	4	10	10	18	14.0	28.0
132	19930814-M-Cincinnati_Masters-SF-Michael_Chang-Andre_Agassi	14	3	9	17	23.0	20.0	8	2	15	10	23.0	12.0
133	19930814-M-Cincinnati_Masters-SF-Stefan_Edberg-Pete_Sampras	9	16	7	16	16.0	32.0	13	16	6	15	19.0	31.0
134	19930815-M-Cincinnati_Masters-F-Stefan_Edberg-Michael_Chang	14	12	13	15	27.0	27.0	7	9	10	12	17.0	21.0
135	19930912-M-US_Open-F-Cedric_Pioline-Pete_Sampras	20	9	15	5	35.0	14.0	8	2	15	6	23.0	8.0
136	19931031-M-Stockholm_Masters-F-Michael_Stich-Goran_Ivanisevic	10	13	5	23	15.0	36.0	7	11	10	12	17.0	23.0
137	19931107-M-Paris_Masters-F-Andrei_Medvedev-Goran_Ivanisevic	14	6	8	4	22.0	10.0	7	6	17	19	24.0	25.0
138	19931107-M-Paris_Masters-SF-Stefan_Edberg-Goran_Ivanisevic	5	17	10	16	15.0	33.0	14	12	10	19	24.0	31.0
139	19931118-M-Tour_Finals-RR-Pete_Sampras-Stefan_Edberg	6	14	6	8	12.0	22.0	4	11	4	12	8.0	23.0
140	19931121-M-Tour_Finals-F-Pete_Sampras-Michael_Stich	14	13	13	19	27.0	32.0	18	17	7	11	25.0	28.0
141	19940127-M-Australian_Open-SF-Todd_Martin-Stefan_Edberg	12	29	17	35	29.0	64.0	23	22	8	33	31.0	55.0
142	19940128-M-Australian_Open-SF-Pete_Sampras-Jim_Courier	9	10	3	21	12.0	31.0	8	10	10	7	18.0	17.0
143	19940130-M-Australian_Open-F-Pete_Sampras-Todd_Martin	21	10	15	19	36.0	29.0	12	13	20	10	32.0	23.0
144	19940305-M-Indian_Wells_Masters-SF-Pete_Sampras-Stefan_Edberg	13	9	3	17	16.0	26.0	8	11	11	12	19.0	23.0
145	19940306-M-Indian_Wells_Masters-F-Pete_Sampras-Petr_Korda	19	7	22	21	41.0	28.0	28	11	21	21	49.0	32.0
146	19940313-M-Miami_Masters-F-Andre_Agassi-Pete_Sampras	14	10	8	8	22.0	18.0	13	6	19	25	32.0	31.0
147	19940423-M-Monte_Carlo_Masters-SF-Sergi_Bruguera-Stefan_Edberg	6	14	1	13	7.0	27.0	13	10	5	12	18.0	22.0
148	19940424-M-Monte_Carlo_Masters-F-Sergi_Bruguera-Andrei_Medvedev	15	1	11	11	26.0	12.0	17	10	18	26	35.0	36.0
