	match_id	p1_backhand_per	p1_cc	p1_dl	p1_dm	p1_forehand_per	p1_ii	p1_io	p2_backhand_per	p2_cc	p2_dl	p2_dm	p2_forehand_per	p2_ii	p2_io
630	20160220-M-Marseille-QF-Stanislas_Wawrinka-Benoit_Paire.html	0.5225563909774437	0.5	0.13	0.22	0.4774436090225564	0.04	0.1	0.5757575757575758	0.45	0.18	0.19	0.42424242424242425	0.01	0.17
631	20140711-M-Bastad-QF-Fernando_Verdasco-Pablo_Carreno_Busta.html	0.47368421052631576	0.4	0.12	0.33	0.5263157894736842	0.04	0.11	0.43005181347150256	0.43	0.1	0.28	0.5699481865284974	0.01	0.19
632	20180118-M-Australian_Open-R64-Alexander_Zverev-Peter_Gojowczyk.html	0.5801526717557252	0.47	0.06	0.42	0.4198473282442748	0.0	0.05	0.44015444015444016	0.41	0.11	0.26	0.5598455598455598	0.03	0.19
633	20100606-M-Roland_Garros-F-Robin_Soderling-Rafael_Nadal.html	0.4450704225352113	0.38	0.24	0.17	0.5549295774647888	0.04	0.17	0.45671641791044776	0.5	0.18	0.2	0.5432835820895522	0.02	0.1
634	20070908-M-US_Open-SF-David_Ferrer-Novak_Djokovic.html	0.43896103896103894	0.42	0.08	0.29	0.561038961038961	0.04	0.16	0.5049751243781094	0.43	0.2	0.17	0.49502487562189057	0.04	0.17
635	20140606-M-Roland_Garros-SF-Ernests_Gulbis-Novak_Djokovic.html	0.5691489361702128	0.48	0.18	0.21	0.42819148936170215	0.0	0.13	0.5096952908587258	0.41	0.2	0.23	0.4903047091412742	0.01	0.16
636	20040129-M-Australian_Open-SF-Andre_Agassi-Marat_Safin.html	0.5778175313059034	0.65	0.16	0.11	0.4221824686940966	0.01	0.07	0.5611015490533563	0.58	0.2	0.17	0.4388984509466437	0.0	0.05
637	20170913-M-Istanbul_CH-R16-Karim_Mohamed_Maamoun-Uladzimir_Ignatik.html	0.4186046511627907	0.39	0.04	0.43	0.5813953488372093	0.01	0.13	0.603448275862069	0.36	0.1	0.38	0.39655172413793105	0.0	0.15
638	20170514-M-Madrid_Masters-F-Rafael_Nadal-Dominic_Thiem.html	0.44376899696048633	0.6	0.08	0.22	0.5562310030395137	0.03	0.07	0.44574780058651026	0.41	0.11	0.3	0.5542521994134897	0.04	0.13
639	19910125-M-Australian_Open-SF-Stefan_Edberg-Ivan_Lendl.html	0.568359375	0.49	0.22	0.18	0.431640625	0.0	0.11	0.626746506986028	0.43	0.23	0.18	0.37325349301397204	0.03	0.13
640	20170211-M-San_Francisco_CH-SF-Vasek_Pospisil-Michael_Mmoh.html	0.45255474452554745	0.43	0.14	0.24	0.5474452554744526	0.02	0.17	0.45384615384615384	0.41	0.11	0.3	0.5461538461538461	0.0	0.18
641	20160911-M-Seville_CH-F-Casper_Ruud-Taro_Daniel.html	0.40336134453781514	0.35	0.08	0.26	0.5966386554621849	0.04	0.27	0.4431818181818182	0.39	0.06	0.27	0.5568181818181818	0.02	0.26
642	20190103-M-Brisbane-QF-Grigor_Dimitrov-Kei_Nishikori.html	0.504950495049505	0.38	0.07	0.35	0.49504950495049505	0.03	0.18	0.5119617224880383	0.43	0.09	0.31	0.4880382775119617	0.01	0.17
643	20120731-M-Olympics-R32-Novak_Djokovic-Andy_Roddick.html	0.484375	0.32	0.26	0.21	0.515625	0.02	0.18	0.44537815126050423	0.4	0.11	0.25	0.5546218487394958	0.01	0.22
644	20140902-M-Shanghai_CH-R32-John_Millman-Ze_Zhang.html	0.5274725274725275	0.55	0.13	0.23	0.4725274725274725	0.01	0.07	0.37055837563451777	0.42	0.14	0.24	0.6294416243654822	0.02	0.18
645	20170723-M-Umag-F-Paolo_Lorenzi-Andrey_Rublev.html	0.6296296296296297	0.51	0.07	0.31	0.37037037037037035	0.01	0.1	0.47297297297297297	0.37	0.13	0.22	0.527027027027027	0.02	0.26
646	20000909-M-US_Open-SF-Pete_Sampras-Lleyton_Hewitt.html	0.5719557195571956	0.58	0.11	0.1	0.4280442804428044	0.06	0.15	0.461864406779661	0.5	0.12	0.16	0.538135593220339	0.03	0.18
647	20140103-M-Brisbane-QF-Marin_Cilic-Kei_Nishikori.html	0.5792682926829268	0.41	0.06	0.37	0.42073170731707316	0.0	0.16	0.5583596214511041	0.45	0.08	0.37	0.4416403785488959	0.01	0.1
648	19980817-M-New_Haven-R32-Pete_Sampras-Lleyton_Hewitt.html	0.558282208588957	0.59	0.1	0.1	0.44171779141104295	0.06	0.14	0.5986842105263158	0.59	0.1	0.21	0.40131578947368424	0.02	0.09
649	20150531-M-Roland_Garros-R16-Roger_Federer-Gael_Monfils.html	0.45414847161572053	0.41	0.14	0.29	0.5458515283842795	0.03	0.14	0.5113636363636364	0.49	0.07	0.27	0.48863636363636365	0.02	0.15
650	20150806-M-Washington-R32-Alexandr_Dolgopolov-Ivo_Karlovic.html	0.38596491228070173	0.3	0.18	0.23	0.6140350877192983	0.0	0.3	0.5481481481481482	0.33	0.25	0.19	0.45185185185185184	0.02	0.21
