	match_id	p1_be	p1_bw	p1_fe	p1_fw	p1_unforced_errors	p1_winners	p2_be	p2_bw	p2_fe	p2_fw	p2_unforced_errors	p2_winners
116	20130414-M-Monte_Carlo_Masters-F-Novak_Djokovic-Rafael_Nadal.html	8	9	7	14	15.0	23.0	13	1	9	14	22.0	15.0
117	20130419-M-Monte_Carlo_Masters-SF-Novak_Djokovic-Fabio_Fognini.html	2	4	1	4	3.0	8.0	10	2	5	7	15.0	9.0
118	20130607-M-Roland_Garros-SF-Novak_Djokovic-Rafael_Nadal.html	35	17	41	31	76.0	48.0	17	13	27	36	44.0	49.0
119	20130705-M-Wimbledon-SF-Novak_Djokovic-Juan_Martin_Del_Potro.html	32	23	24	31	56.0	54.0	14	15	23	27	37.0	42.0
120	20130810-M-Canada_Masters-SF-Novak_Djokovic-Rafael_Nadal.html	8	7	25	10	33.0	17.0	10	3	19	11	29.0	14.0
121	20130813-M-Canada_Masters-QF-Novak_Djokovic-Richard_Gasquet.html	3	6	7	10	10.0	16.0	9	3	3	4	12.0	7.0
122	20131005-M-Beijing-F-Novak_Djokovic-Rafael_Nadal.html	5	3	9	12	14.0	15.0	9	1	13	6	22.0	7.0
123	20131007-M-Shanghai_Masters-R32-Marcel_Granollers-Novak_Djokovic.html	6	2	11	5	17.0	7.0	4	10	10	8	14.0	18.0
124	20131031-M-Paris_Masters-R16-John_Isner-Novak_Djokovic.html	10	3	22	13	32.0	16.0	9	12	9	13	18.0	25.0
125	20131101-M-Paris_Masters-QF-Novak_Djokovic-Stanislas_Wawrinka.html	11	8	8	10	19.0	18.0	13	7	10	4	23.0	11.0
126	20131102-M-Paris_Masters-SF-Novak_Djokovic-Roger_Federer.html	19	4	8	12	27.0	16.0	14	5	14	12	28.0	17.0
127	20131104-M-Tour_Finals-RR-Richard_Gasquet-Novak_Djokovic.html	14	8	12	9	26.0	17.0	21	9	17	14	38.0	23.0
128	20131105-M-Tour_Finals-RR-Novak_Djokovic-Roger_Federer.html	20	9	13	9	33.0	18.0	19	8	19	13	38.0	21.0
129	20140122-M-Australian_Open-QF-Novak_Djokovic-Stanislas_Wawrinka.html	15	11	36	21	51.0	32.0	29	8	21	18	50.0	26.0
130	20140326-M-Miami_Masters-QF-Novak_Djokovic-Andy_Murray.html	7	4	8	8	15.0	12.0	18	5	6	10	24.0	15.0
